ticker,entropy_rate_bits
FC5,0.8451382917778647
FC3,0.8407616008028953
FC1,0.8159063382871229
FCz,0.7893996091768236
FC2,0.8090466243841351
FC4,0.8403875922074627
FC6,0.857607818418577
C5,0.8227293635332954
C3,0.8177472529323615
C1,0.7625671952447425
Cz,0.7440747987253835
C2,0.7546235953833724
C4,0.805490049566061
C6,0.8062579851707041
CP5,0.7399809886579612
CP3,0.7316975466228953
CP1,0.698804849309592
CPz,0.6815779005878158
CP2,0.6798811242782993
CP4,0.7020694535669573
CP6,0.7271099793500659
Fp1,0.7213978046264857
Fpz,0.6515516358265812
Fp2,0.7105568105727
AF7,0.7806946986485691
AF3,0.725910665103658
AFz,0.6291937142881473
AF4,0.7574280047754524
AF8,0.7521290878047971
F7,0.7529023026559738
F5,0.7832662294970593
F3,0.7408155764705104
F1,0.6920906504955265
Fz,0.6779637928306171
F2,0.719161478703026
F4,0.7583981458909358
F6,0.8106947475519763
F8,0.7560294446023295
FT7,0.8014490447055854
FT8,0.8079592654974121
T7,0.7938161633580553
T8,0.8169041537655125
T9,0.7192368832248955
T10,0.7398814636219584
TP7,0.7536245975830898
TP8,0.7734099737787029
P7,0.7022709822735702
P5,0.6816464189820706
P3,0.7029263181902066
P1,0.691247602162142
Pz,0.6887321702189781
P2,0.7025440805222516
P4,0.7160584334531704
P6,0.7151645248627648
P8,0.7318468971351489
PO7,0.697552822469194
PO3,0.7028384588316618
POz,0.6891279342512096
PO4,0.7173966076491747
PO8,0.7106347159963101
O1,0.6994900479773234
Oz,0.6962914358061594
O2,0.6987973898496799
Iz,0.7039711728780662
