ticker,entropy_rate_bits
A,0.9978946367680231
NVDA,0.9940365059198452
NTRS,0.9971430302177338
NTAP,0.9979669657595016
NSC,0.99570164121936
NRG,0.9934239472099823
NOC,0.9969504769714119
NKE,0.9998658164142818
NI,0.9898553913841223
NFLX,0.9995344997022392
NEM,0.9992107288563595
NEE,0.9966403705613793
NDSN,0.9994207361742882
NDAQ,0.9944702979825812
NCLH,0.9998212098880226
TAP,0.9995255814908675
MU,0.9982083000568971
MTD,0.9965443603418731
MSI,0.9895596846245263
MSFT,0.9969001589195774
MSCI,0.9976163245824616
MS,0.9965834112778543
MRNA,0.9994909044267237
MRK,0.9990665386694745
MPWR,0.9948150587976013
MOS,0.9996179540629276
MNST,0.9953308607411931
MKC,0.9989525874134699
MGM,0.999387169089093
NUE,0.999187188900111
NVR,0.9988374010396268
MET,0.9960331592058709
NWSA,0.9988207374924771
PPL,0.993980510899792
PPG,0.9990487270198416
POOL,0.9996140965285715
PNW,0.9977498900832308
PNR,0.9945416217093735
PNC,0.9990274009875306
PM,0.9907527579142731
PLD,0.9964792975130333
PKG,0.9990852908655976
PH,0.9949933036253974
PGR,0.9972530663332144
PG,0.9955701622987512
PFG,0.9986858565372116
PFE,0.9995718460987701
PEP,0.9968439725458091
PCG,0.9966132094447655
PCAR,0.9987102567975121
PAYX,0.9975822519871025
PANW,0.996205813223651
OXY,0.9998658164142818
ORLY,0.9926717540007303
ORCL,0.9966458265620436
ON,0.9989548357932329
OMC,0.9989659191659382
OKE,0.9949380556769987
ODFL,0.9966132094447655
NXPI,0.9953961901990558
META,0.9984585397854433
MDT,0.9989407524752737
INCY,0.9999463735678386
KLAC,0.9936119512155808
KHC,0.998162006380321
KMI,0.9961214386432867
KMB,0.9972773074103835
KIM,0.9974938988406608
KEYS,0.9975744975518313
KEY,0.9968067836831181
KDP,0.9970673512563019
JPM,0.9971561787230344
JNJ,0.9962835939402068
JKHY,0.9954422178789599
JCI,0.9937809558657663
JBL,0.9943259665116029
JBHT,0.9987033361771178
J,0.9979622109244906
IVZ,0.9976450874076968
ISRG,0.9941287452698286
IRM,0.9924474526208262
IQV,0.9998327106193727
IP,0.9999068315225914
INVH,0.9974794110400681
INTU,0.9985558971929971
INTC,0.9999921370077098
IFF,0.9999174005286029
